Team,LG,S,FGA,Md,%,<40_yds_FGA,<40_yds_Md,<40_yds_%,40+_yds_FGA,40+_yds_Md,40+_yds_%,50+_yds_FGA,50+_yds_Md,FG_made_Yards,FG_made_Avg,FG_att_Yards,FG_att_Avg
BC,51,0,26,25,96.15384615384616,12,12,100.0,14,13,92.9,2,1,881,35.2,933,35.9
CGY,53,0,30,27,90.0,14,13,92.9,16,14,87.5,6,6,"1,030",38.1,"1,161",38.7
EDM,45,1,11,8,72.72727272727273,6,5,83.3,5,3,60.0,0,0,245,30.6,371,33.7
HAM,50,1,20,19,95.0,16,16,100.0,4,3,75.0,2,1,546,28.7,597,29.9
MTL,51,1,29,24,82.75862068965517,16,14,87.5,13,10,76.9,2,2,847,35.3,"1,054",36.3
OTT,54,1,29,27,93.10344827586208,16,16,100.0,13,11,84.6,6,5,912,33.8,"1,009",34.8
SSK,54,1,25,21,84.0,17,16,94.1,8,5,62.5,4,1,604,28.8,794,31.8
TOR,47,1,14,13,92.85714285714286,10,10,100.0,4,3,75.0,1,0,412,31.7,455,32.5
WPG,53,0,20,20,100.0,12,13,108.3,7,7,100.0,3,3,633,33.3,678,33.9
CFL,54,6,204,184,90.19607843137256,119,115,96.6,84,69,82.1,26,19,"6,110",33.4,"7,052",34.6
