Team,GP,Yards,Per G,Plays,yds_per_play,Rush_plays,Oth_TLs_Plays,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,13,"4,051",311.6,691,5.86,238,1,"3,113","1,218",-280,34%,65%,0%,413,39
CGY,13,"4,448",342.2,715,6.22,280,20,"3,034","1,650",-236,39%,58%,3%,380,35
EDM,14,"5,266",376.1,769,6.85,320,19,"3,611","1,845",-190,42%,56%,2%,398,32
HAM,13,"4,970",382.3,709,7.01,293,17,"3,611","1,604",-245,41%,56%,2%,369,30
MTL,13,"4,491",345.5,705,6.37,265,16,"3,164","1,505",-178,38%,60%,2%,403,21
OTT,13,"5,030",386.9,704,7.14,251,9,"4,235","1,009",-214,36%,63%,1%,412,32
SSK,13,"4,642",357.1,696,6.67,304,12,"3,256","1,584",-198,44%,55%,2%,353,27
TOR,12,"4,197",349.8,697,6.02,218,4,"3,620",876,-299,31%,68%,1%,430,45
WPG,14,"4,173",298.1,719,5.80,243,10,"3,139","1,331",-297,34%,65%,1%,426,40
CFL,59,"41,268",699.5,"6,405",6.44,"2,412",108,"30,783","12,622","-2,137",38%,###,2%,"3,584",301
