0_9_yds_Effic,Team,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int,20+_yds_TD,20+_yds_Effic
80.0,BC,277,202,72.9,1659,6,1,75,45,60.0,708,1,5,108.1,61,19,31.1,746,4,5,79.0
103.4,CGY,239,194,81.2,1631,1,5,80,38,47.5,621,7,3,50.1,61,20,32.8,782,2,12,134.7
93.9,EDM,227,173,76.2,1360,3,6,96,63,65.6,1154,2,3,108.6,75,37,49.3,1097,5,10,120.8
96.2,HAM,208,157,75.5,1578,5,6,93,56,60.2,989,3,4,97.5,68,32,47.1,1044,7,8,101.6
79.1,MTL,264,191,72.3,1602,7,2,63,31,49.2,510,4,1,55.7,76,33,43.4,1052,5,11,116.8
106.0,OTT,229,181,79.0,1890,6,10,107,63,58.9,1084,5,3,83.2,76,33,43.4,1261,8,11,111.8
94.3,SSK,191,147,77.0,1365,4,4,74,45,60.8,778,3,5,102.2,88,32,36.4,1113,6,12,102.1
99.3,TOR,283,236,83.4,1885,4,5,72,48,66.7,821,4,5,105.2,75,30,40.0,914,9,13,94.0
81.3,WPG,253,182,71.9,1449,6,4,99,54,54.5,876,3,1,75.1,74,23,31.1,814,4,4,69.3
92.1,CFL,"2,171","1,663",76.6,"14,419",42,43,759,443,58.4,7541,32,30,87.7,654,259,39.6,"8,823",50,86,103.3
