2023 CFL,Unnamed: 0,2023 PENALTIES BY TEAM: (INCL. DECLINED),Unnamed: 1,Unnamed: 2,No Yards / IDK 680,Unnamed: 3,56 12.1
PENALTIES BY TEAM,,BC CGY EDM HAM MTL OTT SSK,TOR,WPG,Illegal Kicks OB 180,,18 10.0
PREVENTABLE:,CFL,,,,Offence - Hold/Il. Block:,,
Offside - Offence,40,6 5 5 4 8 3 1,6,2,Holding & Illegal Block 836,,111 7.5
Offside - Defence,94,16 3 19 8 12 9 9,12,6,All Other Calls:,,
Procedure,65,6 10 5 13 1 8 7,10,5,"Offside, Proc., Tm Ct ... 1,304",,287 4.5
Procedure No End,8,0 0 0 2 2 0 0,1,3,,,
Illegal Sub/Too Many Men,20,2 2 5 2 4 0 1,4,0,,,
Illegal  Formation,1,1 0 0 0 0 0 0,0,0,2023 PLAY CALL TRENDS,,
Illegal Participation,6,0 2 1 0 1 0 0,0,2,In  Offensive Plays Run,,Negated by Pn
Time Count,38,7 3 1 6 3 2 2,9,5,2023 Rush Pass Sacks Oth TL,,Ran No Ply
Objectionable Conduct,46,2 3 5 10 8 2 6,9,1,"Total 2,413 3,584 300 109",,284 152
No Yards,51,5 8 8 8 4 5 8,2,3,%Tot 35% 52% 4% 2%,,4% 2%
IDK (Ill. Downfield),5,0 0 2 2 1 0 0,0,0,Most Recent 3 Weeks (#9-11),,
Contacting Kicker,2,0 0 1 0 1 0 0,0,0,"Total 1,050 1,368 102 42",,118 71
Illegal Punt,13,2 1 3 2 0 2 1,0,2,%Tot 38% 50% 4% 2%,,4% 3%
Illegal Kickoff,5,0 0 2 2 0 1 0,0,0,,,
TECHNICAL:,,,,,,,
Intentional Ground,8,0 1 3 1 0 0 1,0,2,2023 PENALTIES BY WEEK:,,
Holding - Offence,94,16 9 13 5 7 7 13,13,11,Each Week Yr to Date,,
Illegal Blk - Offence,17,1 3 1 3 1 1 1,4,2,Wk Pen Avg Pen Cum,,
Holding - Return,69,11 8 7 11 11 7 7,2,5,1  64 16.0 64 16.0,,
Illegal Blk - Return,42,4 8 5 4 10 1 1,4,5,2  62 15.5 126 15.8,,
Defensive Pass Interf.,62,6 8 12 8 5 5 7,5,6,3  58 14.5 184 15.3,,
Illegal Contact (ICR),34,9 4 6 2 4 2 4,0,3,4  50 16.7 234 15.6,,
Off. Pass Interference,9,0 2 0 2 1 0 0,0,4,5  66 16.5 300 15.8,,
Inelig Rec/Ill Fwd Pass,0,0 0 0 0 0 0 0,0,0,6  77 19.3 377 16.4,,
Pyramiding/Ill Inter*,5,0 1 2 1 0 1 0,0,0,7  67 16.8 444 16.4,,
ROUGHNESS:,,,,,8  59 14.8 503 16.2,,
UR - General,118,12 11 16 12 14 14 11,21,7,9  69 17.3 572 16.3,,
UR - Roughing Passer,38,6 4 3 6 4 1 4,5,5,10  67 16.8 639 16.4,,
UR - Face Mask,27,2 4 2 4 4 4 4,3,0,11  56 14.0 695 16.2,,
UR - Horse Coll Tackle,9,2 0 3 0 1 1 1,0,1,12  62 15.5 757 16.1,,
UR - Blindside Block,3,0 0 1 0 0 0 2,0,0,13  69 17.3 826 16.2,,
UR - Clip/Crack Back,0,0 0 0 0 0 0 0,0,0,14  51 12.8 877 15.9,,
UR - Cut/Chop Block,1,0 0 0 0 0 1 0,0,0,15  58 14.5 935 15.8,,
UR - Spearing,1,0 0 1 0 0 0 0,0,0,16,,
UR - Piling On,0,0 0 0 0 0 0 0,0,0,17,,
UR - Roughing Kicker,2,0 0 0 1 0 1 0,0,0,18,,
Rough Play DQ,2,0 0 1 0 1 0 0,0,0,19,,
ACCEPTED,935,103 87 114 103 93 70 80,99,71,20,,
DECLINED (included),(115),(13) (13) (19) (16) (15) (8) (11),(11),(9),21,,
