Team,LG,S,Rec,Oppt_returns_TD,Oppt_returns_40+,No,Yards,Avg,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Regular_K/Os_No,Regular_K/Os_Yards,Regular_K/Os_Avg,Oppt_start_YdL,Oppt_start_Av_YL,Oppt_start_Rk
BC,79,1,0,1,4,62,"3,779",61.0,61,"1,203",19.7,82,60,"3,750",62.5,"2,169",36.2,3
CGY,82,0,0,0,2,45,"2,913",64.7,45,945,21.0,42,44,"2,898",65.9,"1,600",37.2,4
EDM,100,1,1,0,2,51,"2,929",57.4,47,754,16.0,62,51,"2,929",57.4,"1,904",38.9,8
HAM,79,0,0,0,2,51,"3,001",58.8,48,921,19.2,43,48,"2,959",61.6,"1,999",40.0,9
MTL,80,0,0,0,1,54,"3,585",66.4,53,"1,177",22.2,42,54,"3,585",66.4,"1,902",35.9,2
OTT,77,0,0,0,1,51,"3,077",60.3,50,982,19.6,50,51,"3,077",60.3,"1,973",38.7,7
SSK,95,1,3,0,3,49,"2,846",58.1,44,863,19.6,43,45,"2,794",62.1,"1,735",37.7,6
TOR,100,2,0,0,9,73,"5,273",72.2,71,"1,868",26.3,79,73,"5,273",72.2,"2,521",35.0,1
WPG,90,1,0,0,4,77,"5,113",66.4,76,"1,879",24.7,62,77,"5,113",66.4,"2,858",37.6,5
CFL,100,6,4,1,28,513,"32,516",63.4,495,"10,592",21.4,82,503,"32,378",64.4,"18,661",37.3,
