Team,C2,FG,Sgl,S/T,Oppt_TDs_PR,Oppt_TDs_KOR,Oppt_TDs_FGM,TD,C1,Oppt_TDs_Rush,Oppt_TDs_Pass,Oppt_TDs_Int,Oppt_TDs_FR,Oppt_points_Q1,Oppt_points_Q2,Oppt_points_Q3,Oppt_points_Q4,Oppt_points_OT
BC,0,23,1,0,1,0,0,17,15,6,9,1,0,38,69,39,41,0
CGY,3,25,6,0,3,0,0,25,18,5,14,3,0,62,63,50,66,14
EDM,2,26,5,1,0,0,0,25,21,9,14,2,0,36,71,93,60,0
HAM,1,21,2,1,1,0,0,26,23,12,12,1,0,56,82,39,71,0
MTL,0,24,3,0,0,0,0,15,14,8,6,0,1,40,56,42,41,0
OTT,1,23,5,0,1,0,0,27,15,8,17,0,1,58,67,72,48,9
SSK,1,28,7,0,2,0,0,26,23,9,12,1,2,47,75,55,92,3
TOR,2,12,0,0,0,0,0,20,15,3,14,2,1,31,60,22,62,0
WPG,3,21,6,0,0,0,0,20,13,7,8,2,3,50,37,57,58,6
CFL,13,203,35,2,8,0,0,201,157,67,106,12,8,418,580,469,539,32
