Team,LG,S,FG Atts,FGA,Md,%,<40_yds_FGA,<40_yds_Md,<40_yds_%,40+_yds_FGA,40+_yds_Md,40+_yds_%,50+_yds_FGA,50+_yds_Md,FG_made_Yards,FG_made_Avg,FG_att_Yards,FG_att_Avg
BC,51,0,Atts 75,34,32,94.11764705882352,16,16,100.0,18,16,88.9,2,1,"1,103",34.5,"1,204",35.4
CGY,53,0,Made 69,43,38,88.37209302325581,21,20,95.2,22,18,81.8,7,6,"1,390",36.6,"1,616",37.6
EDM,46,1,% 92%,18,15,83.33333333333334,12,11,91.7,6,4,66.7,0,0,456,30.4,582,32.3
HAM,50,3,,30,25,83.33333333333334,23,22,95.7,7,3,42.9,3,1,735,29.4,967,32.2
MTL,51,2,,37,31,83.78378378378379,20,17,85.0,17,14,82.4,3,3,"1,070",34.5,"1,305",35.3
OTT,54,2,,33,30,90.90909090909092,18,17,94.4,15,13,86.7,7,6,"1,050",35.0,"1,182",35.8
SSK,54,1,,32,28,87.5,21,20,95.2,11,8,72.7,6,3,855,30.5,"1,045",32.7
TOR,47,1,,17,16,94.11764705882352,13,13,100.0,4,3,75.0,1,0,506,31.6,549,32.3
WPG,53,0,,28,27,96.42857142857144,18,19,105.6,9,8,88.9,4,3,814,31.3,911,32.5
CFL,54,10,,272,242,88.97058823529412,162,155,95.7,109,87,79.8,33,23,"7,979",33.1,"9,361",34.4
