TEAM,Opp_RZ_Pts,Att,TD,%,FG,T/O,Oth,Pts,%,Opp_Att1,Opp_TD,Opp_%,Opp_(No_TD)_FG,Opp_(No_TD)_T/O,Opp_(No_TD)_Oth
BC,122 62%,32,19,59.4,9,3,1,160,71%,28,12,42.9,13,3,0
CGY,147 68%,31,15,48.4,13,3,0,143,66%,31,16,51.6,12,3,0
EDM,182 68%,24,14,58.3,6,4,0,115,68%,38,20,52.6,14,2,2
HAM,192 69%,31,16,51.6,13,2,0,149,69%,40,22,55.0,12,5,1
MTL,148 73%,29,13,44.8,10,6,0,120,59%,29,17,58.6,10,2,0
OTT,177 70%,28,11,39.3,11,4,2,111,57%,36,20,55.6,14,2,0
SSK,144 73%,34,15,44.1,14,5,0,146,61%,28,17,60.7,8,3,0
TOR,127 73%,34,25,73.5,7,2,0,197,83%,25,16,64.0,5,3,1
WPG,118 60%,40,25,62.5,13,1,1,216,77%,28,13,46.4,8,7,0
CFL,"1,357 69%",283,153,54.1,96,30,4,"1,357",69%,283,153,54.1,96,30,4
