Team,TOP,Team_Poss,Team_FP_Yds,Team_YdL,Starts_from_opp_end_No,Starts_from_opp_end_TD,Opp_Poss,Opp_YdL,Gp,Games_+,Games_-,avg_Gap
BC,30:56,169,"5,814",34.4,15,4,167,39.2,12,3,9,-4.8
CGY,29:07,172,"6,656",38.7,24,7,168,37.4,12,6,6,+1.3
EDM,29:03,156,"5,804",37.2,16,3,156,33.8,12,9,3,+3.4
HAM,30:50,147,"5,246",35.7,18,5,152,39.9,11,3,8,-4.2
MTL,29:40,147,"5,246",35.7,11,2,152,37.3,11,4,7,-1.6
OTT,30:38,160,"5,904",36.9,16,6,156,37.7,11,5,6,-0.8
SSK,29:35,163,"6,142",37.7,23,6,160,38.0,11,5,6,-0.3
TOR,28:11,135,"5,570",41.3,27,13,143,33.1,10,10,0,+8.2
WPG,31:43,171,"6,437",37.6,22,9,166,37.9,12,6,6,-0.3
CFL,,"1,420","52,819",37.2,172,55,"1,420",37.2,,,,
