Team,FGM,T/O,Punt,Oth,TD%,Poss,TD,FG,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,2-&-Outs_2&O,2-&-Outs_%
BC,3,40,97,12,18%,247,45,50,41,4,144,31,34,4,16,3,10,1,2,2,71,29%
CGY,7,26,117,8,13%,240,32,50,31,3,134,13,39,4,14,5,16,4,6,3,82,34%
EDM,6,41,121,10,16%,238,37,23,26,3,153,23,41,8,12,2,6,1,0,0,78,33%
HAM,6,41,94,12,15%,227,34,40,42,3,120,19,36,7,19,4,8,0,2,1,77,34%
MTL,12,31,92,13,14%,222,30,44,41,4,109,13,48,9,12,2,10,2,2,0,66,30%
OTT,7,39,110,17,13%,243,31,39,41,1,140,17,38,4,10,4,10,4,4,1,89,37%
SSK,8,46,117,12,13%,257,34,40,38,4,145,17,47,6,14,1,12,5,1,1,81,32%
TOR,3,22,102,13,23%,232,54,38,28,3,108,24,50,8,20,6,23,11,3,2,73,31%
WPG,5,33,77,14,26%,229,59,41,25,5,134,30,41,13,17,5,11,6,1,0,70,31%
CFL,57,319,927,111,,"2,135",356,365,313,30,1187,187,374,63,134,32,106,34,21,10,687,32%
