Team,Yards,Int,TD,LG,30+,2D_conversions,Yds_per_game,Avg_depth,Yds,SA,Esc_runs,Dropbacks,Att,Com,complete%,Effic,IC%,Avg,YAC,TDI
BC,"1,767",9,10,68,8,35,295,12.4,"2,389",14,13,220,193,135,69.9,96.4,4.7,9.2,623,1.11
CGY,"1,680",9,8,95,13,33,280,9.4,"1,972",11,8,228,209,130,62.2,82.2,4.3,8.0,786,0.89
EDM,"1,650",11,8,102,8,32,236,9.8,"2,041",21,15,244,208,127,61.1,76.8,5.3,7.9,724,0.73
HAM,"1,570",8,4,64,9,33,262,11.0,"2,269",13,7,226,206,129,62.6,76.3,3.9,7.6,585,0.50
MTL,"1,401",3,5,69,12,33,280,10.3,"1,521",26,12,186,148,101,68.2,101.2,2.0,9.5,669,1.67
OTT,"1,304",9,3,54,5,37,217,9.5,"1,847",20,20,235,195,123,63.1,68.4,4.6,6.7,514,0.33
SSK,"1,680",6,8,60,9,35,280,9.9,"2,045",23,9,238,206,142,68.9,94.3,2.9,8.2,610,1.33
TOR,"1,408",3,7,59,12,27,282,12.5,"1,602",6,5,139,128,91,71.1,115.6,2.3,11.0,487,2.33
WPG,"1,946",4,13,70,15,42,278,11.7,"2,368",18,4,224,202,140,69.3,113.2,2.0,9.6,744,3.25
CFL,"14,406",62,66,102,91,307,534,10.7,"18,054",152,93,"1,940","1,695","1,118",66.0,90.2,3.7,8.5,"5,742",1.06
