Team,GIVEAWAYS:_Dns,T/Os,Opp_Pts,OFF1 Ret2,TAKEAWAYS:_Dns,Ratio,GIVEAWAYS:_Fum,GIVEAWAYS:_Int,TAKEAWAYS:_Fum,TAKEAWAYS:_Int,Opp_team_T/O,Team_pts
BC,0,14,49,11 (3),7,+3,5,9,4,6,17,36
CGY,3,16,45,15 (1),4,-3,2,11,5,4,13,28
EDM,5,22,45,21 (1),4,-8,4,13,3,7,14,11
HAM,5,21,61,20 (1),2,-7,4,12,6,6,14,48
MTL,3,12,22,11 (1),5,+4,6,3,2,9,16,29
OTT,7,22,35,20 (2),3,-1,5,10,5,13,21,49
SSK,8,19,32,19 (0),1,-6,3,8,3,9,13,12
TOR,2,6,13,6 (0),5,+16,0,4,3,14,22,88
WPG,5,16,39,15 (1),7,+2,7,4,5,6,18,40
CFL,38,148,341,138 (10),38,2022,36,74,36,74,148,341
